n,ID,ID_next,length,area,lake,endorheic,S_0,S_max,Coeff,power,lake_type,slope,target_vol,lake_type_for_target_vol
86,3008739,3025722.0,11158.605293358094,367970199.0501999,0.0,0.0,1000000.0,1840850995.2509997,0.01,1.5,0.0,0.0001,0.0,0.0
87,3008744,7007230.0,15892.31361936129,370665582.65656114,0.0,0.0,1000000.0,1854327913.2828057,0.01,1.5,0.0,0.0001,0.0,0.0
88,3008907,3030622.0,22398.88134239403,375449727.5858153,0.0,0.0,1000000.0,1878248637.9290767,0.01,1.5,0.0,0.0001,0.0,0.0
89,3008938,3021760.0,27397.11445166755,375319982.839187,0.0,0.0,1000000.0,1877599914.1959352,0.01,1.5,0.0,0.0001,0.0,0.0
90,3008984,3044061.0,25169.485502696723,375012394.4912221,0.0,0.0,1000000.0,1876061972.4561105,0.01,1.5,0.0,0.0001,0.0,0.0
91,3009043,3019059.0,15326.843605505825,375971549.2954431,0.0,0.0,1000000.0,1880857746.4772155,0.01,1.5,0.0,0.0001,0.0,0.0
92,3009179,3022734.0,21610.43602306109,381510716.7514324,0.0,0.0,1000000.0,1908553583.757162,0.01,1.5,0.0,0.0001,0.0,0.0
93,3009253,3033535.0,15315.738680206689,378496641.16233575,0.0,0.0,1000000.0,1893483205.811679,0.01,1.5,0.0,0.0001,0.0,0.0
94,3009333,3028988.0,28280.25516744937,383692034.166632,0.0,0.0,1000000.0,1919460170.83316,0.01,1.5,0.0,0.0001,0.0,0.0
95,3009630,3044047.0,16185.816868273329,391798935.0503994,0.0,0.0,1000000.0,1959994675.251997,0.01,1.5,0.0,0.0001,0.0,0.0
96,3009635,3038037.0,21137.584079651853,389757114.8810532,0.0,0.0,1000000.0,1949785574.405266,0.01,1.5,0.0,0.0001,0.0,0.0
97,3009644,3021918.0,33373.90020074205,385919208.1555725,0.0,0.0,1000000.0,1930596040.7778623,0.01,1.5,0.0,0.0001,0.0,0.0
98,3009652,7000579.0,18128.91859997528,391572098.944106,0.0,0.0,1000000.0,1958860494.72053,0.01,1.5,0.0,0.0001,0.0,0.0
99,3009813,3026669.0,25472.030560134488,389763682.368367,0.0,0.0,1000000.0,1949818411.841835,0.01,1.5,0.0,0.0001,0.0,0.0
100,3009944,3031492.0,18192.357445776437,395579250.0061066,0.0,0.0,1000000.0,1978896250.030533,0.01,1.5,0.0,0.0001,0.0,0.0
101,3010026,3034127.0,4625.419993666219,399737863.9879784,0.0,0.0,1000000.0,1999689319.939892,0.01,1.5,0.0,0.0001,0.0,0.0
102,3010115,3035223.0,25774.893865023805,399454065.2709102,0.0,0.0,1000000.0,1998270326.354551,0.01,1.5,0.0,0.0001,0.0,0.0
103,3010243,3021869.0,24604.1039038118,402473270.78250206,0.0,0.0,1000000.0,2013366353.9125104,0.01,1.5,0.0,0.0001,0.0,0.0
104,3010367,3024435.0,15413.755311433366,407440618.8509479,0.0,0.0,1000000.0,2038203094.2547395,0.01,1.5,0.0,0.0001,0.0,0.0
105,3010468,3030512.0,29032.28312831198,403345781.2290504,0.0,0.0,1000000.0,2017728906.145252,0.01,1.5,0.0,0.0001,0.0,0.0
106,3010512,7000557.0,12566.647589468252,393891115.7383236,0.0,0.0,1000000.0,1970455578.6916182,0.01,1.5,0.0,0.0001,0.0,0.0
107,3010550,3027787.0,25037.336714408277,408149234.0304696,0.0,0.0,1000000.0,2041746170.152348,0.01,1.5,0.0,0.0001,0.0,0.0
108,3010631,3037639.0,11098.822924224618,412861200.4450092,0.0,0.0,1000000.0,2065306002.225046,0.01,1.5,0.0,0.0001,0.0,0.0
109,3010870,3040423.0,25105.2647996716,413118482.34932256,0.0,0.0,1000000.0,2066592411.7466128,0.01,1.5,0.0,0.0001,0.0,0.0
110,3010897,3029001.0,7613.152381642965,415918381.7378489,0.0,0.0,1000000.0,2080591908.6892443,0.01,1.5,0.0,0.0001,0.0,0.0
111,3010989,3040378.0,37218.82413159383,415914331.696512,0.0,0.0,1000000.0,2080571658.48256,0.01,1.5,0.0,0.0001,0.0,0.0
112,3011078,7007351.0,33056.927332637104,415735168.5038813,0.0,0.0,1000000.0,2079675842.5194063,0.01,1.5,0.0,0.0001,0.0,0.0
113,3011168,3024435.0,33489.174164893484,419409066.8318644,0.0,0.0,1000000.0,2098045334.159322,0.01,1.5,0.0,0.0001,0.0,0.0
